DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:49:33.361959+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,524.91,109.28,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:49:38.217819+00:00,SMPB Odisha,https://smpbodisha.in/,Up,135.19,1327.35,35.9,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:49:42.017050+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,411.66,2.92,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:49:45.688669+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,509.13,3.11,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:49:49.588959+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up (Slow),202.41,11486.65,2.98,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:50:04.103385+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1341.42,75.89,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:50:08.884613+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,7.2,419.94,102.62,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:50:11.188635+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1839.42,3.46,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:50:25.438583+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,87.42,1211.76,66.43,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:50:32.610971+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,723.0,55.9,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:50:37.091916+00:00,SMPB Odisha,https://smpbodisha.in/,Up,155.37,2810.98,34.45,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
